municipality_code,district_code,state_code,name,area_km2,population,longitude,latitude,settlement_type
01054009,01054,01,Aventoft,14.47,409,8.822142,54.901249,gering besiedelt
01054016,01054,01,Bosbüll,6.33,277,8.860437,54.822786,gering besiedelt
01054017,01054,01,Braderup,13.35,674,8.890308,54.835624,gering besiedelt
01054018,01054,01,Bramstedtlund,13.85,214,9.08724,54.840025,gering besiedelt
01054022,01054,01,Dagebüll,36.92,914,8.706381,54.730209,gering besiedelt
01054027,01054,01,Ellhöft,7.82,99,8.957598,54.888824,gering besiedelt
01054034,01054,01,Friedrich-Wilhelm-Lübke-Koog,13.49,163,8.631939,54.862372,gering besiedelt
01054048,01054,01,Holm,4,98,8.860525,54.831367,gering besiedelt
01054055,01054,01,Humptrup,16.99,758,8.864538,54.863199,gering besiedelt
01054062,01054,01,Karlum,14.46,197,8.975269,54.828646,gering besiedelt
01054065,01054,01,Klanxbüll,10.63,1014,8.679546,54.864348,gering besiedelt
01054068,01054,01,Klixbüll,17.44,1040,8.882448,54.805242,gering besiedelt
01054073,01054,01,Ladelund,24.09,1426,9.025311,54.84075,gering besiedelt
01054076,01054,01,Leck,29.79,7883,8.974572,54.771914,mittlere Besiedlungsdichte
01054077,01054,01,Lexgaard,5.24,66,8.943493,54.832022,gering besiedelt
01054086,01054,01,Neukirchen,31.58,1156,8.73388,54.868905,gering besiedelt
01054088,01054,01,"Niebüll, Stadt",30.63,10173,8.829499,54.788141,mittlere Besiedlungsdichte
01054109,01054,01,Risum-Lindholm,36.03,3914,8.875515,54.761513,gering besiedelt
01054110,01054,01,Rodenäs,19.84,397,8.70031,54.888387,gering besiedelt
01054124,01054,01,Sprakebüll,11.37,295,9.077168,54.775904,gering besiedelt
